OVERVERPAKKING;DOOSNR;aantal;LEDERCODE;merk;r1;r2;r3;r4;r5;r6;r7;Colorcode;beeld
A;1;70;W34113;TAURUS;0,9/1,1 mm;Protected;Mat;Fine corrected grain;Uni;Possible color difference;;A  Doos 1 | W34113;202002606_layout_1.pdf
A;2;70;W34140;TAURUS;0,9/1,1 mm;Protected;Mat;Fine corrected grain;Uni;Possible color difference;;A  Doos 2 | W34140;202002606_layout_2.pdf
A;3;70;W34145;TAURUS;0,9/1,1 mm;Protected;Mat;Fine corrected grain;Uni;Possible color difference;;A  Doos 3 | W34145;202002606_layout_3.pdf
A;4;70;W34102;TAURUS;0,9/1,1 mm;Protected;Mat;Fine corrected grain;Uni;Possible color difference;;A  Doos 4 | W34102;202002606_layout_4.pdf
A;5;70;W34230;TAURUS;0,9/1,1 mm;Protected;Satin gloss;Fine corrected grain;Uni;Possible color difference;;A  Doos 5 | W34230;202002606_layout_5.pdf
A;6;70;W34236;TAURUS;0,9/1,1 mm;Protected;Satin gloss;Fine corrected grain;Uni;Possible color difference;;A  Doos 6 | W34236;202002606_layout_6.pdf
A;7;70;W34237;TAURUS;0,9/1,1 mm;Protected;Satin gloss;Fine corrected grain;Uni;Possible color difference;;A  Doos 7 | W34237;202002606_layout_7.pdf
A;8;70;W34240;TAURUS;0,9/1,1 mm;Protected;Satin gloss;Fine corrected grain;Uni;Possible color difference;;A  Doos 8 | W34240;202002606_layout_8.pdf
A;9;70;W34270;TAURUS;0,9/1,1 mm;Protected;Satin gloss;Fine corrected grain;Uni;Possible color difference;;A  Doos 9 | W34270;202002606_layout_9.pdf
B;10;70;W34273;TAURUS;0,9/1,1 mm;Protected;Satin gloss;Fine corrected grain;Uni;Possible color difference;;B  Doos 10 | W34273;202002606_layout_10.pdf
B;11;120;W53902;TAURUS;1,3/1,5 mm;Protected;Shiny grain;Corrected grain;;Possible color difference;;B  Doos 11 | W53902;202002606_layout_11.pdf
B;12;120;W53904;TAURUS;1,3/1,5 mm;Protected;Shiny grain;Corrected grain;;Possible color difference;;B  Doos 12 | W53904;202002606_layout_12.pdf
B;13;120;W53920;TAURUS;1,3/1,5 mm;Protected;Shiny grain;Corrected grain;;Possible color difference;;B  Doos 13 | W53920;202002606_layout_13.pdf
B;14;120;W53925;TAURUS;1,3/1,5 mm;Protected;Shiny grain;Corrected grain;;Possible color difference;;B  Doos 14 | W53925;202002606_layout_14.pdf
B;15;120;W53926;TAURUS;1,3/1,5 mm;Protected;Shiny grain;Corrected grain;;Possible color difference;;B  Doos 15 | W53926;202002606_layout_15.pdf
B;16;120;W53929;TAURUS;1,3/1,5 mm;Protected;Shiny grain;Corrected grain;;Possible color difference;;B  Doos 16 | W53929;202002606_layout_16.pdf
B;17;120;W53950;TAURUS;1,3/1,5 mm;Protected;Shiny grain;Corrected grain;;Possible color difference;;B  Doos 17 | W53950;202002606_layout_17.pdf
